authorId,authorProfile,author,dateCreated,text
100028340855553,https://www.facebook.com/people/Mustafa-Hazard-AL-Iraqy/100028340855553/,Mustafa Hazard AL Iraqy,2022-10-18T10:38:00.000Z,لا أعتقد بأن لاعبي مدريد يفكرون بجوائز الأطفال نحن لنا البالن دور ✋
100048884082556,https://www.facebook.com/people/%D8%A7%D8%AD%D9%85%D8%AF-%D8%AD%D8%B3%D9%86/100048884082556/,احمد حسن,2022-10-18T10:56:38.000Z,مبروك فالفيردي
100055213246303,https://www.facebook.com/people/%E1%8E%AF%E1%8F%9A%E1%8E%BB%E1%8E%A1%E1%8E%AF%E1%8E%B0-%E1%8E%AC%E1%8F%9E-%E1%8F%A6%E1%8E%AF%E1%8F%81%E1%8F%AB%E1%8F%81%E1%8E%A5-%E1%8E%BF%E1%8E%A1/100055213246303/,ᎯᏚᎻᎡᎯᎰ ᎬᏞ ᏦᎯᏁᏫᏁᎥ ᎿᎡ,2022-10-18T10:24:39.000Z,25 سنه و موهبه صاعده بالنسبه لحمدون
100014742197851,https://www.facebook.com/hamza.tamimi.313,Hamza Tamimi,2022-10-18T10:23:45.000Z,هاد اللاعب زي ناتشو صار عمره 30 سنة وهو موهبة صاعدة
100026954859600,https://www.facebook.com/mohamed.bradia.96,Mohamed Bradia,2022-10-18T12:47:48.000Z,افضل جولدن بوي بالعالم 🤣🤣🤣
100084419513031,https://www.facebook.com/people/%D8%B9%D8%B4%D8%A7%D9%82-%D8%B1%D9%8A%D8%A7%D9%84-%D9%85%D8%AF%D8%B1%D9%8A%D8%AF/100084419513031/,عشاق ريال مدريد,2022-10-18T10:25:09.000Z,"اسـبـو؏ صعب عل البرشلوني 

فوز ريال مدريد بالكلاسيكو 
حصول بنزيما على الكرة الذهبية 
تأهل الريال لدور 16 
خروج برشلونة لدوري الاوربي 
عودة كريستيانو رونالدو للتهديف"
100002346156250,https://www.facebook.com/people/%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D8%B2%D9%85%D8%A7%D9%86%D9%83/100002346156250/,سلطان زمانك,2022-10-18T10:53:15.000Z,لم تنفجر قدماه بعد 🤣🤣🤣
100071472184007,https://www.facebook.com/people/%D9%85%D9%88%D8%AF-%D9%85%D9%8A%D8%AF%D9%88/100071472184007/,مود ميدو,2022-10-18T10:38:46.000Z,اوافقك الراي .... فالفيردي وفي كمان موسيالا في البايرن للأمانة لاعبين من اجمل ما يكون  .... ولا أعلم على ماذا اعطو جافي الجائزة .... ايش عمل وايش انجز بالموسم الماضي .... فيفا خاينة  ...
100066021822346,https://www.facebook.com/people/Mohamad-AL-Bayaa/100066021822346/,Mohamad AL-Bayaa,2022-10-18T10:26:23.000Z,"الجائزة تمنح لمن عمره 21 وتحت وفالفيردي عمره 25 
اذا قلنا عنكن ولاد بتزعلو 🤦‍♂💔"
100575151322073,https://www.facebook.com/realbetisfansarabic/,ريال بيتيس بالعربية,2022-10-18T10:02:11.000Z,https://all-downloader.online
