index,authorId,authorProfile,author,dateCreated,text
0,100002647399049,https://www.facebook.com/mohamed.nadori.50,Mohamed Mohammed En Med,2022-08-20T09:12:47.000Z,"لا يكتمل الهاشتاغ إلا بالصلاة على النبي
#7dh_Gazoil
#8dh_Essence
#Dégage_Akhannouch
آللـــھمِے🌾صَّلِ🌾وَسُـُلْـﻤ🌾وٌبـ̨̥̬̩ـارگ🌾عَلے🌾سَيدنِـــا🌿🌹 مُــُحـمـ̨̥̬̩ـد🌿🌹عَدد🌾مَا ذگرهُ🌾 ألذَاكِرونّ🌾وغَفِلَ🌾عن🌾 ذِكِرهِ🌾ألغَافِلونّ🌾🌾
❤‏آلُلَُّـہِــم💮صٍَلُِّ💮ۆَﺳَ̭͠ـــلُِّم💮 ۆَبَْآرِگّْ💮علُﮯنَْبِْيَِّنَْـــآ🌼🌿مُحٍمَّدِ🌿🌼 ۆِأّلَُـﮧِ💮ۆِصٌٍحٌٍبِْـﮧِ💮 أّجٍِمَعٌيَِّن💮وسلم💮تسليما💮كثيرا🌾🌾🌾🌾🌾🌾اللهم صل على سيدنا محمد🌹عدد خلقک🌹ورضا نفسک🌹وزنة عرشک🌹ومدآد كلماتک🌲وعدد الذاكرين🌲والذاكرآت🌷وذرآت وآلرمال🌷ف لأرض والبحار⁦🌺والجبال🌻ولانهار🌻وعدد مالا يحص عدد🌷و على اله⁦🏵️⁩وصحبه🌹اجمعين🌷اللهم امين🌿يارب العالمين🍀استغفر الله العظيم الذي لا اله الا هو الحي القيوم واتوب اليه 🌼اللهم صل وسلم وبارك على سيدنا ونبينا محمد وعلى اله وصحبه اجمعين"
0,100000797064910,,Iliass WiaM Chafai,2022-08-20T08:22:57.000Z,احبك في الله اخي إلياس
0,100003598692001,https://www.facebook.com/mimo.abounassim,Mimo AbouNassim,2022-08-20T14:30:15.000Z,                  Snio Demimo                    Btissam Elka 
0,100044631360264,https://www.facebook.com/Lakhrissi.ilyass,إلياس الخريسي - Lakhrissi ilyass,2022-08-21T22:13:08.000Z,"رقم حساب جمعية إحياء الخيرية ihyae al khairia
230815324581222101570027 
من بنك CIH إلى cih
3245812221015700"
0,100044631360264,https://www.facebook.com/Lakhrissi.ilyass,إلياس الخريسي - Lakhrissi ilyass,2022-08-21T22:39:58.000Z,"طريقة المساهمة 
https://fb.watch/f2riXAWcDN/"
0,100050482561829,https://www.facebook.com/abdlwahad.gassmi,Abdlwahad Gassmi,2022-09-01T14:30:32.000Z,سلام عليكم ورحمة الله تعالى وبركاته السي إلياس الخريسي معك عبد الواحد كاسمي رئيس جمعية بونانة للماء والتنمية. بدوار بونانة جماعة بوزروال قيادة تنزولين عمالة زكورة.الله  يرحم الوالدين إلا ممكن دعم الجمعية من اجل حفر ثقب مائي مع قناة الربط والواح الشمسية ومظخة الماء جزاكم الله خيرا
0,100001221471504,https://www.facebook.com/rdouane.benali,Rdouane Benali,2022-08-21T22:25:22.000Z,"اللهم اسقنا الغيث و لا تجعلنا من القانطين
تقبل الله من الجميع ❤️"
0,100010975591008,https://www.facebook.com/hamza.abaach.3,حمزة أبعاش,2022-08-22T16:51:54.000Z,بارك الله جهودكم
0,100009115131480,https://www.facebook.com/people/Yassine-Ait-Lahaj/100009115131480/,Yassine Ait Lahaj,2022-08-21T22:27:08.000Z,الحمد لله ، تقبل الله منا ومنكم صالح الاعمال
0,100009251925211,https://www.facebook.com/nourddineotba67,نورالدين أبو بسمى,2022-08-22T07:45:31.000Z,جزاكم الله الف خير ربي عوينكم
0,100022547674233,,Uma Amin,2022-08-22T15:11:46.000Z,انتم الاساس ولكن هناك اساس اخر وهو تربية العقول حتى بعد شرب الماء لانه للاسف اصبح الناس لا وعي لديهم حول هذفهم في الحياة ولماذا خلقوا ..
0,100002066623837,https://www.facebook.com/marocain.fache,عبد الله السوسي,2022-08-22T16:14:12.000Z,تقبل الله
0,100044596712368,https://www.facebook.com/mohamed.banhocine,Mohamed Ban Hocine,2022-08-22T09:43:44.000Z,السلام عليكم ورحمة الله وبركاته دوار مرباط وبني اسراج بجماعة الصميعة  تازة يعانيان من نقص حاد للماء لدا فسكان هذه المناطق ينتظرون رخمة الله اللهم اغتهم وخفف معاناتهم
0,100001436204948,https://www.facebook.com/moubarakabdou,Abdelilah AMbark,2022-09-19T20:10:41.000Z,من الرشيدية نقول لك نحن فخورون بك. وفقك الله
0,1162225506,https://www.facebook.com/bagri83,Rachid Alaoui,2022-09-19T19:36:56.000Z,تحية متبادلة
0,100028350931153,https://www.facebook.com/people/%D8%A7%D9%84%D8%B5%D8%B1%D9%8A%D8%AD-%D8%A3%D9%8A%D9%88%D8%A8/100028350931153/,الصريح أيوب,2022-09-20T00:32:47.000Z,تبارك الله عليك خويا إلياس تحياتي الحارة
0,100000697168683,https://www.facebook.com/gouyeme,Zidane Houcine,2022-09-19T21:15:33.000Z,الله يعاونك يا مرضي الوالدين و مرحبا بيك بين أحضان وزازنة العالم
0,100010953421439,https://www.facebook.com/people/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85-%D8%A7%D9%84%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3%D9%8A-%D8%A7%D9%84%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3%D9%8A/100010953421439/,ابراهيم الإدريسي الإدريسي,2022-09-19T19:49:21.000Z,شي مبادرة لجيهة لوزازن أسي إلياس
0,100016744506019,https://www.facebook.com/people/Ali-Salam/100016744506019/,Ali Salam,2022-09-19T21:53:31.000Z,الله يسعد خويا أول مره نعرفك بهذا الفيديو
0,100009957191696,https://www.facebook.com/adam.hajri.50,Adam Hajri,2022-09-19T20:40:36.000Z,اللهم امين تحياتي
0,100008834461758,https://www.facebook.com/hakimi.nourdin,نورالدين الحكيمي,2022-09-19T19:52:35.000Z,حفظك الله ورعاك وسدد خطاك
0,100054995392858,https://www.facebook.com/people/%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D8%A7%D9%88%D9%8A-%D8%B2%D9%83%D8%B1%D9%8A%D8%A7%D8%A1-Bessraoui-zakaria/100054995392858/,البصراوي زكرياء - Bessraoui zakaria,2022-09-22T09:55:30.000Z,آمين يا أستاذي
0,100060157670331,https://www.facebook.com/people/%D8%A5%D9%83%D8%B1%D8%A7%D9%85-%D8%A7%D9%85/100060157670331/,إكرام ام,2022-09-19T22:25:58.000Z,الله ارحم الوالدين واجازيك بخير واحفظك من كل شر يارب
0,100010071557374,https://www.facebook.com/people/Brahim-Elbakari/100010071557374/,Brahim Elbakari,2022-09-18T14:12:57.000Z,تحياة طيبة خويا إلياس اللهم بارك
0,100000661066087,https://www.facebook.com/fouad.sabour,Sabour Fouad,2022-09-17T20:22:23.000Z,اللهم بارك اينا منطقة
0,100010515586980,,Agouram Salahdine,2022-09-17T18:41:31.000Z,بارك الله فيك
0,100024782244367,https://www.facebook.com/wassim.rahimi.7,Wassim Rahimi,2022-09-18T09:17:07.000Z,اللهم  بارك  واش اوزون  لكصر  دا
0,100050918798789,,Sabir Sehli,2022-09-17T18:42:03.000Z,إذا ارتفعت اشجار النخل، ابتسم الرئيس ههههه تحية للشرادي
